Studiejaar,Faculteit,Type,Codenationaliteit,Omschrijvingnationaliteit,Geslacht,Leeftijd,Leiden,Hoofdinschrijvingen
2014,Geesteswetenschappen,ba,30,Belgische,Vrouw,18,j,1
2014,Geesteswetenschappen,ba,30,Belgische,Vrouw,19,j,3
2014,Geesteswetenschappen,ba,30,Belgische,Vrouw,19,n,1
2014,Geesteswetenschappen,ba,30,Belgische,Vrouw,20,n,2
2014,Geesteswetenschappen,ba,30,Belgische,Vrouw,21,n,4
2014,Geesteswetenschappen,ba,30,Belgische,Vrouw,25,j,1
2014,Geesteswetenschappen,ba,30,Belgische,Vrouw,26,n,1
2014,Geesteswetenschappen,ba,30,Belgische,Vrouw,32,j,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,18,j,2
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,18,n,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,19,j,3
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,19,n,2
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,20,j,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,20,n,12
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,21,j,2
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,21,n,5
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,22,j,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,22,n,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,23,n,2
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,25,n,3
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,28,j,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,28,n,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Man,29,n,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,18,j,2
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,18,n,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,19,j,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,19,n,7
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,20,j,2
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,20,n,7
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,21,n,3
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,22,j,2
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,22,n,2
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,23,j,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,23,n,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,24,n,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,25,j,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,25,n,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,26,n,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,35,n,1
2014,Geesteswetenschappen,ba,38,Brits Burger,Vrouw,53,j,1
2014,Geesteswetenschappen,ba,31,Bulgaarse,Man,19,j,1
2014,Geesteswetenschappen,ba,31,Bulgaarse,Man,20,n,2
2014,Geesteswetenschappen,ba,31,Bulgaarse,Man,21,n,1
2014,Geesteswetenschappen,ba,31,Bulgaarse,Vrouw,19,j,2
2014,Geesteswetenschappen,ba,31,Bulgaarse,Vrouw,19,n,1
2014,Geesteswetenschappen,ba,31,Bulgaarse,Vrouw,20,j,1
2014,Geesteswetenschappen,ba,31,Bulgaarse,Vrouw,20,n,1
2014,Geesteswetenschappen,ba,31,Bulgaarse,Vrouw,22,j,1
2014,Geesteswetenschappen,ba,18,Armeense,Vrouw,29,j,1
2014,Geesteswetenschappen,ba,187,Bengalese,Vrouw,25,j,1
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Man,18,j,1
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Man,19,j,6
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Man,19,n,4
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Man,20,j,4
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Man,20,n,2
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Man,21,j,5
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Man,21,n,5
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Man,22,n,9
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Man,24,j,1
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Man,24,n,2
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Man,25,j,1
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Man,25,n,1
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,18,j,3
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,19,j,10
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,19,n,7
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,20,j,11
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,20,n,13
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,21,j,3
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,21,n,14
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,22,n,3
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,23,n,4
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,24,j,1
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,24,n,3
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,25,n,1
2014,Geesteswetenschappen,ba,33,Burger van de Bondsrepubliek Duitsland,Vrouw,27,n,1
2014,Geesteswetenschappen,ba,8,Georgische,Man,19,n,1
2014,Geesteswetenschappen,ba,159,Indiase,Man,21,j,1
2014,Geesteswetenschappen,ba,159,Indiase,Man,21,n,1
2014,Geesteswetenschappen,ba,159,Indiase,Man,27,j,1
2014,Geesteswetenschappen,ba,159,Indiase,Vrouw,19,n,1
2014,Geesteswetenschappen,ba,159,Indiase,Vrouw,21,n,1
2014,Geesteswetenschappen,ba,159,Indiase,Vrouw,23,j,1
2014,Geesteswetenschappen,ba,65,Kosovaarse,Man,19,n,1
2014,Geesteswetenschappen,ba,21,Kroatische,Vrouw,18,j,1
2014,Geesteswetenschappen,ba,21,Kroatische,Vrouw,20,n,2
2014,Geesteswetenschappen,ba,12,Oekraïense,Vrouw,19,j,1
2014,Geesteswetenschappen,ba,19,Russische,Man,18,j,2
2014,Geesteswetenschappen,ba,19,Russische,Man,19,n,1
2014,Geesteswetenschappen,ba,19,Russische,Vrouw,17,j,1
2014,Geesteswetenschappen,ba,19,Russische,Vrouw,18,j,1
2014,Geesteswetenschappen,ba,19,Russische,Vrouw,20,j,1
2014,Geesteswetenschappen,ba,19,Russische,Vrouw,20,n,1
2014,Geesteswetenschappen,ba,19,Russische,Vrouw,21,n,1
2014,Geesteswetenschappen,ba,19,Russische,Vrouw,25,j,1
2014,Geesteswetenschappen,ba,19,Russische,Vrouw,26,j,1
2014,Geesteswetenschappen,ba,20,Sloveense,Man,19,j,1
2014,Geesteswetenschappen,ba,20,Sloveense,Vrouw,20,n,1
2014,Geesteswetenschappen,ba,20,Sloveense,Vrouw,21,n,1
2014,Geesteswetenschappen,ba,10,Tadzjiekse,Man,22,n,1
2014,Geesteswetenschappen,ba,119,Canadese,Vrouw,21,n,1
2014,Geesteswetenschappen,ba,137,Chileense,Man,20,n,1
2014,Geesteswetenschappen,ba,155,Chinese,Man,19,j,1
2014,Geesteswetenschappen,ba,155,Chinese,Man,20,n,2
2014,Geesteswetenschappen,ba,155,Chinese,Man,21,n,1
2014,Geesteswetenschappen,ba,155,Chinese,Man,23,j,1
2014,Geesteswetenschappen,ba,155,Chinese,Man,26,n,1
2014,Geesteswetenschappen,ba,155,Chinese,Man,27,n,1
2014,Geesteswetenschappen,ba,155,Chinese,Man,30,n,1
2014,Geesteswetenschappen,ba,155,Chinese,Vrouw,19,n,2
2014,Geesteswetenschappen,ba,155,Chinese,Vrouw,20,j,3
2014,Geesteswetenschappen,ba,155,Chinese,Vrouw,21,n,3
2014,Geesteswetenschappen,ba,155,Chinese,Vrouw,22,j,1
2014,Geesteswetenschappen,ba,155,Chinese,Vrouw,22,n,1
2014,Geesteswetenschappen,ba,155,Chinese,Vrouw,26,j,1
2014,Geesteswetenschappen,ba,155,Chinese,Vrouw,26,n,1
2014,Geesteswetenschappen,ba,155,Chinese,Vrouw,32,n,1
2014,Geesteswetenschappen,ba,155,Chinese,Vrouw,33,n,1
2014,Geesteswetenschappen,ba,155,Chinese,Vrouw,39,j,1
2014,Geesteswetenschappen,ba,155,Chinese,Vrouw,50,n,1
2014,Geesteswetenschappen,ba,138,Colombiaanse,Man,41,n,1
2014,Geesteswetenschappen,ba,138,Colombiaanse,Vrouw,23,n,1
2014,Geesteswetenschappen,ba,138,Colombiaanse,Vrouw,26,n,1
2014,Geesteswetenschappen,ba,156,Cyprische,Vrouw,20,n,2
2014,Geesteswetenschappen,ba,156,Cyprische,Vrouw,23,j,1
2014,Geesteswetenschappen,ba,156,Cyprische,Vrouw,25,j,1
2014,Geesteswetenschappen,ba,32,Deense,Man,24,n,1
2014,Geesteswetenschappen,ba,32,Deense,Vrouw,20,n,1
2014,Geesteswetenschappen,ba,32,Deense,Vrouw,22,j,1
2014,Geesteswetenschappen,ba,139,Ecuadoraanse,Man,18,j,1
2014,Geesteswetenschappen,ba,139,Ecuadoraanse,Vrouw,25,n,1
2014,Geesteswetenschappen,ba,75,Egyptische,Vrouw,18,n,1
2014,Geesteswetenschappen,ba,23,Estische,Vrouw,20,n,1
2014,Geesteswetenschappen,ba,157,Filipijnse,Man,27,n,1
2014,Geesteswetenschappen,ba,34,Finse,Man,20,j,1
2014,Geesteswetenschappen,ba,34,Finse,Man,22,j,1
2014,Geesteswetenschappen,ba,34,Finse,Man,30,n,1
2014,Geesteswetenschappen,ba,34,Finse,Vrouw,18,j,2
2014,Geesteswetenschappen,ba,34,Finse,Vrouw,19,j,2
2014,Geesteswetenschappen,ba,34,Finse,Vrouw,19,n,1
2014,Geesteswetenschappen,ba,34,Finse,Vrouw,20,j,1
2014,Geesteswetenschappen,ba,34,Finse,Vrouw,20,n,2
2014,Geesteswetenschappen,ba,34,Finse,Vrouw,21,n,2
2014,Geesteswetenschappen,ba,34,Finse,Vrouw,22,n,1
2014,Geesteswetenschappen,ba,34,Finse,Vrouw,23,j,1
2014,Geesteswetenschappen,ba,34,Finse,Vrouw,24,n,1
2014,Geesteswetenschappen,ba,34,Finse,Vrouw,25,j,1
2014,Geesteswetenschappen,ba,34,Finse,Vrouw,25,n,1
2014,Geesteswetenschappen,ba,35,Franse,Man,18,j,3
2014,Geesteswetenschappen,ba,35,Franse,Man,19,j,3
2014,Geesteswetenschappen,ba,35,Franse,Man,19,n,2
2014,Geesteswetenschappen,ba,35,Franse,Man,20,n,3
2014,Geesteswetenschappen,ba,35,Franse,Man,21,n,1
2014,Geesteswetenschappen,ba,35,Franse,Man,22,j,1
2014,Geesteswetenschappen,ba,35,Franse,Man,25,j,1
2014,Geesteswetenschappen,ba,35,Franse,Vrouw,18,j,5
2014,Geesteswetenschappen,ba,35,Franse,Vrouw,19,j,3
2014,Geesteswetenschappen,ba,35,Franse,Vrouw,19,n,3
2014,Geesteswetenschappen,ba,35,Franse,Vrouw,20,j,1
2014,Geesteswetenschappen,ba,35,Franse,Vrouw,20,n,2
2014,Geesteswetenschappen,ba,35,Franse,Vrouw,22,n,1
2014,Geesteswetenschappen,ba,35,Franse,Vrouw,23,n,1
2014,Geesteswetenschappen,ba,35,Franse,Vrouw,45,n,1
2014,Geesteswetenschappen,ba,35,Franse,Vrouw,47,j,1
2014,Geesteswetenschappen,ba,37,Griekse,Man,19,n,2
2014,Geesteswetenschappen,ba,37,Griekse,Man,20,n,1
2014,Geesteswetenschappen,ba,37,Griekse,Man,21,n,3
2014,Geesteswetenschappen,ba,37,Griekse,Man,26,j,1
2014,Geesteswetenschappen,ba,37,Griekse,Vrouw,17,j,2
2014,Geesteswetenschappen,ba,37,Griekse,Vrouw,18,n,1
2014,Geesteswetenschappen,ba,37,Griekse,Vrouw,19,j,1
2014,Geesteswetenschappen,ba,37,Griekse,Vrouw,25,n,1
2014,Geesteswetenschappen,ba,37,Griekse,Vrouw,26,n,1
2014,Geesteswetenschappen,ba,39,Hongaarse,Man,22,n,3
2014,Geesteswetenschappen,ba,39,Hongaarse,Man,24,j,1
2014,Geesteswetenschappen,ba,39,Hongaarse,Man,26,j,1
2014,Geesteswetenschappen,ba,39,Hongaarse,Man,30,n,1
2014,Geesteswetenschappen,ba,39,Hongaarse,Vrouw,19,n,1
2014,Geesteswetenschappen,ba,39,Hongaarse,Vrouw,20,j,1
2014,Geesteswetenschappen,ba,39,Hongaarse,Vrouw,20,n,1
2014,Geesteswetenschappen,ba,39,Hongaarse,Vrouw,21,j,1
2014,Geesteswetenschappen,ba,39,Hongaarse,Vrouw,21,n,1
2014,Geesteswetenschappen,ba,39,Hongaarse,Vrouw,22,j,1
2014,Geesteswetenschappen,ba,39,Hongaarse,Vrouw,22,n,1
2014,Geesteswetenschappen,ba,39,Hongaarse,Vrouw,23,n,1
2014,Geesteswetenschappen,ba,39,Hongaarse,Vrouw,24,j,1
2014,Geesteswetenschappen,ba,40,Ierse,Man,17,j,1
2014,Geesteswetenschappen,ba,40,Ierse,Man,18,j,1
2014,Geesteswetenschappen,ba,40,Ierse,Man,20,j,1
2014,Geesteswetenschappen,ba,40,Ierse,Man,23,n,1
2014,Geesteswetenschappen,ba,40,Ierse,Man,25,n,1
2014,Geesteswetenschappen,ba,40,Ierse,Man,27,j,1
2014,Geesteswetenschappen,ba,40,Ierse,Man,57,n,1
2014,Geesteswetenschappen,ba,40,Ierse,Vrouw,18,j,1
2014,Geesteswetenschappen,ba,41,Ijslandse,Man,20,j,2
2014,Geesteswetenschappen,ba,41,Ijslandse,Vrouw,31,n,1
2014,Geesteswetenschappen,ba,160,Indonesische,Man,19,n,1
2014,Geesteswetenschappen,ba,160,Indonesische,Man,20,n,2
2014,Geesteswetenschappen,ba,160,Indonesische,Man,24,j,1
2014,Geesteswetenschappen,ba,160,Indonesische,Vrouw,17,j,1
2014,Geesteswetenschappen,ba,160,Indonesische,Vrouw,20,n,1
2014,Geesteswetenschappen,ba,160,Indonesische,Vrouw,22,j,1
2014,Geesteswetenschappen,ba,160,Indonesische,Vrouw,24,j,1
2014,Geesteswetenschappen,ba,160,Indonesische,Vrouw,28,j,1
2014,Geesteswetenschappen,ba,161,Iraakse,Man,28,j,1
2014,Geesteswetenschappen,ba,162,Iraanse,Man,20,n,1
2014,Geesteswetenschappen,ba,42,Italiaanse,Man,17,j,1
2014,Geesteswetenschappen,ba,42,Italiaanse,Man,18,j,2
2014,Geesteswetenschappen,ba,42,Italiaanse,Man,19,j,3
2014,Geesteswetenschappen,ba,42,Italiaanse,Man,20,j,1
2014,Geesteswetenschappen,ba,42,Italiaanse,Man,20,n,2
2014,Geesteswetenschappen,ba,42,Italiaanse,Man,21,n,2
2014,Geesteswetenschappen,ba,42,Italiaanse,Man,22,n,2
2014,Geesteswetenschappen,ba,42,Italiaanse,Man,23,j,1
2014,Geesteswetenschappen,ba,42,Italiaanse,Vrouw,18,j,4
2014,Geesteswetenschappen,ba,42,Italiaanse,Vrouw,19,j,3
2014,Geesteswetenschappen,ba,42,Italiaanse,Vrouw,19,n,1
2014,Geesteswetenschappen,ba,42,Italiaanse,Vrouw,20,j,2
2014,Geesteswetenschappen,ba,42,Italiaanse,Vrouw,20,n,2
2014,Geesteswetenschappen,ba,42,Italiaanse,Vrouw,21,n,1
2014,Geesteswetenschappen,ba,42,Italiaanse,Vrouw,22,j,1
2014,Geesteswetenschappen,ba,42,Italiaanse,Vrouw,23,j,1
2014,Geesteswetenschappen,ba,42,Italiaanse,Vrouw,23,n,2
2014,Geesteswetenschappen,ba,42,Italiaanse,Vrouw,24,n,2
2014,Geesteswetenschappen,ba,42,Italiaanse,Vrouw,27,n,1
2014,Geesteswetenschappen,ba,42,Italiaanse,Vrouw,39,j,1
2014,Geesteswetenschappen,ba,164,Japanse,Man,19,j,1
2014,Geesteswetenschappen,ba,164,Japanse,Vrouw,22,n,1
2014,Geesteswetenschappen,ba,85,Kameroense,Vrouw,22,n,1
2014,Geesteswetenschappen,ba,86,Kenyaanse,Vrouw,18,j,1
2014,Geesteswetenschappen,ba,22,Letse,Man,18,j,1
2014,Geesteswetenschappen,ba,22,Letse,Vrouw,21,j,1
2014,Geesteswetenschappen,ba,22,Letse,Vrouw,26,n,1
2014,Geesteswetenschappen,ba,24,Litouwse,Vrouw,19,j,1
2014,Geesteswetenschappen,ba,24,Litouwse,Vrouw,19,n,1
2014,Geesteswetenschappen,ba,24,Litouwse,Vrouw,20,n,1
2014,Geesteswetenschappen,ba,24,Litouwse,Vrouw,21,j,1
2014,Geesteswetenschappen,ba,24,Litouwse,Vrouw,21,n,1
2014,Geesteswetenschappen,ba,24,Litouwse,Vrouw,33,n,1
2014,Geesteswetenschappen,ba,45,Luxemburgse,Man,23,n,1
2014,Geesteswetenschappen,ba,45,Luxemburgse,Vrouw,21,n,1
2014,Geesteswetenschappen,ba,64,Macedonische,Vrouw,22,n,1
2014,Geesteswetenschappen,ba,171,Maleisische,Vrouw,23,n,1
2014,Geesteswetenschappen,ba,171,Maleisische,Vrouw,24,j,1
